"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 30 09:45:23 GMT 2023","Sun Apr 30 09:45:23 GMT 2023","2","","FunctionsTest","","FunctionsTest","testLogOut","Logout from Blondesite",""
"broken","Sun Apr 30 09:45:23 GMT 2023","Sun Apr 30 09:45:23 GMT 2023","1","","FunctionsTest","","FunctionsTest","testTableData","Comparing Table Data",""
"broken","Sun Apr 30 09:45:23 GMT 2023","Sun Apr 30 09:45:23 GMT 2023","1","","FunctionsTest","","FunctionsTest","testKatexSelectButtonArray","Select Options",""
"broken","Sun Apr 30 09:45:23 GMT 2023","Sun Apr 30 09:45:23 GMT 2023","1","","FunctionsTest","","FunctionsTest","testKatexSelectButtonVisibleValue","Verify Selected Value",""
"broken","Sun Apr 30 09:45:22 GMT 2023","Sun Apr 30 09:45:22 GMT 2023","7","","FunctionsTest","","FunctionsTest","testRegister","Register to Blondesite",""
"broken","Sun Apr 30 09:45:23 GMT 2023","Sun Apr 30 09:45:23 GMT 2023","1","","FunctionsTest","","FunctionsTest","testChangeTextAndNavigateBack","Change Text",""
"broken","Sun Apr 30 09:45:23 GMT 2023","Sun Apr 30 09:45:23 GMT 2023","1","","FunctionsTest","","FunctionsTest","testGetListTypes","List Types",""
"broken","Sun Apr 30 09:45:23 GMT 2023","Sun Apr 30 09:45:23 GMT 2023","0","","FunctionsTest","","FunctionsTest","testLogin","Login to Blondesite",""
"broken","Sun Apr 30 09:45:23 GMT 2023","Sun Apr 30 09:45:23 GMT 2023","0","","FunctionsTest","","FunctionsTest","","FunctionsTest",""
