"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 30 11:26:18 GMT 2023","Sun Apr 30 11:26:20 GMT 2023","2345","","FunctionsTest","","FunctionsTest","testLogOut","Logout from Blondesite","As a logged in user:
     Click on Logout button"
"passed","Sun Apr 30 11:26:56 GMT 2023","Sun Apr 30 11:27:02 GMT 2023","6168","","FunctionsTest","","FunctionsTest","testGetListTypes","List Types","As a logged in user:
    Check if the structure of the list types equals with the content of the expected json file"
"passed","Sun Apr 30 11:26:26 GMT 2023","Sun Apr 30 11:26:32 GMT 2023","5728","","FunctionsTest","","FunctionsTest","testKatexSelectButtonArray","Select Options","As a logged in user:
    Verifying that the options in the select menu are equals with the expected ones"
"passed","Sun Apr 30 11:26:15 GMT 2023","Sun Apr 30 11:26:18 GMT 2023","2489","","FunctionsTest","","FunctionsTest","testLogin","Login to Blondesite","Login to Blondesite page, using appropriate username and password"
"passed","Sun Apr 30 11:26:14 GMT 2023","Sun Apr 30 11:26:15 GMT 2023","1073","","FunctionsTest","","FunctionsTest","testRegister","Register to Blondesite","Register a new account to Blondesite page, by providing username, email address and password"
"passed","Sun Apr 30 11:26:32 GMT 2023","Sun Apr 30 11:26:37 GMT 2023","5167","","FunctionsTest","","FunctionsTest","testKatexSelectButtonVisibleValue","Verify Selected Value","As a logged in user:
    Verifying that the chosen select option is displayed"
"passed","Sun Apr 30 11:26:37 GMT 2023","Sun Apr 30 11:26:56 GMT 2023","18481","","FunctionsTest","","FunctionsTest","testChangeTextAndNavigateBack","Change Text","As a logged in user:
    Change the content of the textarea based on the provided file"
"passed","Sun Apr 30 11:26:20 GMT 2023","Sun Apr 30 11:26:26 GMT 2023","6029","","FunctionsTest","","FunctionsTest","testTableData","Comparing Table Data","As a logged in user:
    Verifying that the table content equals with the expected file's content"
