"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 30 10:02:40 GMT 2023","Sun Apr 30 10:02:46 GMT 2023","5478","","FunctionsTest","","FunctionsTest","testTableData","Comparing Table Data",""
"passed","Sun Apr 30 10:02:35 GMT 2023","Sun Apr 30 10:02:36 GMT 2023","1097","","FunctionsTest","","FunctionsTest","testRegister","Register to Blondesite",""
"passed","Sun Apr 30 10:02:50 GMT 2023","Sun Apr 30 10:02:54 GMT 2023","3930","","FunctionsTest","","FunctionsTest","testKatexSelectButtonVisibleValue","Verify Selected Value",""
"passed","Sun Apr 30 10:03:11 GMT 2023","Sun Apr 30 10:03:16 GMT 2023","5825","","FunctionsTest","","FunctionsTest","testGetListTypes","List Types",""
"passed","Sun Apr 30 10:02:38 GMT 2023","Sun Apr 30 10:02:40 GMT 2023","2007","","FunctionsTest","","FunctionsTest","testLogOut","Logout from Blondesite",""
"passed","Sun Apr 30 10:02:46 GMT 2023","Sun Apr 30 10:02:50 GMT 2023","4678","","FunctionsTest","","FunctionsTest","testKatexSelectButtonArray","Select Options",""
"passed","Sun Apr 30 10:02:36 GMT 2023","Sun Apr 30 10:02:38 GMT 2023","2124","","FunctionsTest","","FunctionsTest","testLogin","Login to Blondesite",""
"passed","Sun Apr 30 10:02:54 GMT 2023","Sun Apr 30 10:03:11 GMT 2023","16451","","FunctionsTest","","FunctionsTest","testChangeTextAndNavigateBack","Change Text",""
