"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 30 10:13:52 GMT 2023","Sun Apr 30 10:13:54 GMT 2023","2198","","FunctionsTest","","FunctionsTest","testLogin","Login to Blondesite",""
"passed","Sun Apr 30 10:14:28 GMT 2023","Sun Apr 30 10:14:34 GMT 2023","5835","","FunctionsTest","","FunctionsTest","testGetListTypes","List Types",""
"passed","Sun Apr 30 10:13:54 GMT 2023","Sun Apr 30 10:13:56 GMT 2023","2047","","FunctionsTest","","FunctionsTest","testLogOut","Logout from Blondesite",""
"passed","Sun Apr 30 10:14:02 GMT 2023","Sun Apr 30 10:14:07 GMT 2023","5146","","FunctionsTest","","FunctionsTest","testKatexSelectButtonArray","Select Options",""
"passed","Sun Apr 30 10:14:11 GMT 2023","Sun Apr 30 10:14:28 GMT 2023","16616","","FunctionsTest","","FunctionsTest","testChangeTextAndNavigateBack","Change Text",""
"passed","Sun Apr 30 10:13:56 GMT 2023","Sun Apr 30 10:14:02 GMT 2023","5563","","FunctionsTest","","FunctionsTest","testTableData","Comparing Table Data",""
"passed","Sun Apr 30 10:14:07 GMT 2023","Sun Apr 30 10:14:11 GMT 2023","3978","","FunctionsTest","","FunctionsTest","testKatexSelectButtonVisibleValue","Verify Selected Value",""
"passed","Sun Apr 30 10:13:50 GMT 2023","Sun Apr 30 10:13:52 GMT 2023","1665","","FunctionsTest","","FunctionsTest","testRegister","Register to Blondesite",""
