"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","16","","FunctionsTest","","FunctionsTest","testRegister","Register to Blondesite","Register a new account to Blondesite page, by providing username, email address and password"
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","1","","FunctionsTest","","FunctionsTest","testTableData","Comparing Table Data","As a logged in user:
    Verifying that the table content equals with the expected file's content"
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","3","","FunctionsTest","","FunctionsTest","testKatexSelectButtonVisibleValue","Verify Selected Value","As a logged in user:
    Verifying that the chosen select option is displayed"
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","1","","FunctionsTest","","FunctionsTest","","FunctionsTest",""
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","1","","FunctionsTest","","FunctionsTest","testLogOut","Logout from Blondesite","As a logged in user:
     Click on Logout button"
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","1","","FunctionsTest","","FunctionsTest","testGetListTypes","List Types","As a logged in user:
    Check if the structure of the list types equals with the content of the expected json file"
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","1","","FunctionsTest","","FunctionsTest","testLogin","Login to Blondesite","Login to Blondesite page, using appropriate username and password"
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","1","","FunctionsTest","","FunctionsTest","testKatexSelectButtonArray","Select Options","As a logged in user:
    Verifying that the options in the select menu are equals with the expected ones"
"broken","Sun Apr 30 10:58:44 GMT 2023","Sun Apr 30 10:58:44 GMT 2023","3","","FunctionsTest","","FunctionsTest","testChangeTextAndNavigateBack","Change Text","As a logged in user:
    Change the content of the textarea based on the provided file"
