"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 30 11:19:26 GMT 2023","Sun Apr 30 11:19:32 GMT 2023","5509","","FunctionsTest","","FunctionsTest","testTableData","Comparing Table Data","As a logged in user:
    Verifying that the table content equals with the expected file's content"
"passed","Sun Apr 30 11:19:32 GMT 2023","Sun Apr 30 11:19:37 GMT 2023","4557","","FunctionsTest","","FunctionsTest","testKatexSelectButtonArray","Select Options","As a logged in user:
    Verifying that the options in the select menu are equals with the expected ones"
"passed","Sun Apr 30 11:19:58 GMT 2023","Sun Apr 30 11:20:03 GMT 2023","5823","","FunctionsTest","","FunctionsTest","testGetListTypes","List Types","As a logged in user:
    Check if the structure of the list types equals with the content of the expected json file"
"passed","Sun Apr 30 11:19:41 GMT 2023","Sun Apr 30 11:19:58 GMT 2023","17065","","FunctionsTest","","FunctionsTest","testChangeTextAndNavigateBack","Change Text","As a logged in user:
    Change the content of the textarea based on the provided file"
"passed","Sun Apr 30 11:19:37 GMT 2023","Sun Apr 30 11:19:41 GMT 2023","4021","","FunctionsTest","","FunctionsTest","testKatexSelectButtonVisibleValue","Verify Selected Value","As a logged in user:
    Verifying that the chosen select option is displayed"
"passed","Sun Apr 30 11:19:22 GMT 2023","Sun Apr 30 11:19:24 GMT 2023","2052","","FunctionsTest","","FunctionsTest","testLogin","Login to Blondesite","Login to Blondesite page, using appropriate username and password"
"passed","Sun Apr 30 11:19:24 GMT 2023","Sun Apr 30 11:19:26 GMT 2023","2047","","FunctionsTest","","FunctionsTest","testLogOut","Logout from Blondesite","As a logged in user:
     Click on Logout button"
"passed","Sun Apr 30 11:19:22 GMT 2023","Sun Apr 30 11:19:22 GMT 2023","582","","FunctionsTest","","FunctionsTest","testRegister","Register to Blondesite","Register a new account to Blondesite page, by providing username, email address and password"
